adm0,adm1,adm2,year,pop
GUINEA,BOKÉ,BOFFA,2025,267000.00
GUINEA,BOKÉ,BOKE,2025,612981.00
GUINEA,BOKÉ,FRIA,2025,123155.00
GUINEA,BOKÉ,GAOUAL,2025,252573.00
GUINEA,BOKÉ,KOUNDARA,2025,173907.00
GUINEA, Conakry ,CONAKRY,2025,2166253.00
GUINEA, Conakry ,DIXINN,2025,23208.00
GUINEA, Conakry ,KALOUM,2025,7457.00
GUINEA, Conakry ,MATAM,2025,14269.00
GUINEA, Conakry ,MATOTO,2025,939400.00
GUINEA, Conakry ,RATOMA,2025,1182794.00
GUINEA,FARANAH,DàBOLA,2025,249282.00
GUINEA,FARANAH,DINGUIRAYE,2025,260677.00
GUINEA,FARANAH,FARANAH,2025,400042.00
GUINEA,FARANAH,KISSIDOUGOU,2025,363461.00
GUINEA,KANKAN,KANKAN,2025,677880.00
GUINEA,KANKAN,KEROUANE,2025,270861.00
GUINEA,KANKAN,KOUROUSSA,2025,384486.00
GUINEA,KANKAN,MANDIANA,2025,490788.00
GUINEA,KANKAN,SIGUIRI,2025,1128957.00
GUINEA,KINDIA,C0YAH,2025,497055.00
GUINEA,KINDIA,DUBREKA,2025,658046.00
GUINEA,KINDIA,FORECARIAH,2025,308939.00
GUINEA,KINDIA,KINDIA,2025,589126.00
GUINEA,KINDIA,TÉLIMELE,2025,354519.00
GUINEA,LABE,KOUBIA,2025,120443.00
GUINEA,LABE,LABE,2025,410164.00
GUINEA,LABE,LELOUMA,2025,206491.00
GUINEA,LABE,MALI,2025,378023.00
GUINEA,LABE,TOUGUE,2025,149559.00
GUINEA,MAMOU,DALABA,2025,155374.00
GUINEA,MAMOU,MAMOU,2025,413152.00
GUINEA,MAMOU,PITA,2025,344034.00
GUINEA,N'zerekore,BEYLA,2025,476999.00
GUINEA,N'zerekore,GUECKEDOU,2025,306478.00
GUINEA,N'zerekore,LOLA,2025,218330.00
GUINEA,N'zerekore,MACÉNTA,2025,326079.00
GUINEA,N'zerekore,N'ZEREKORE,2025,526817.00
GUINEA,N'zerekore,YOMOU,2025,121009.00
